id;titulo;descripcion;coordenada_x;coordenada_y;duracion;qr
1;Mountain haptic withdrawal;Checking Account California;38493;73628;96058;quantifying back up Inverse
2;Balboa US Dollar RAM Regional;bandwidth generate;47717;28441;29304;orange portals navigate
3;Bike COM;teal pink wireless;24387;4721;55868;hack Berkshire
4;data-warehouse flexibility Street;Generic Granite Bike payment copying;30781;16947;53842;partnerships Liberian Dollar New Zealand
5;haptic Cotton;Specialist program Towels;96655;79852;32976;Towels Music
6;intangible motivating;mobile;30425;95782;44848;HDD Delaware
7;Customer Rubber;synergy Horizontal Metal;70994;64607;54091;plug-and-play Regional
8;Credit Card Account;Checking Account Investment Account Maryland;1965;2575;80731;indigo
9;Borders Chief;e-markets Tuvalu Saint Helena Pound;54641;29810;83072;feed
10;drive Cambridgeshire;JSON;68261;99157;97680;scale
