id;step_position;title_location;description_location;x_coordinate;y_coordinate;step_duration;qr_code;qr_description;created_at;updated_at
1;53222;cross-platform;Grocery haptic calculate;73788;22113;Ghana Games magnetic;79161;Soft back-end;2020-04-18T19:45:53;2020-04-18T23:00:36
2;77939;Berkshire;feed generating Liaison;91454;91167;Sports Falkland Islands (Malvinas) cross-platform;89152;harness port neural;2020-04-18T17:25:11;2020-04-18T02:59:43
3;41279;Bike parse;Car Granite stable;26331;61;Savings Account pink Steel;87783;Delaware Diverse Northern Mariana Islands;2020-04-18T07:34:50;2020-04-18T03:46:01
4;81654;SDD;European Unit of Account 17(E.U.A.-17) auxiliary parsing;76535;53108;Orchestrator Plastic;5602;transmitting;2020-04-18T02:30:52;2020-04-18T14:56:47
5;78996;help-desk;Cambridgeshire;52820;58226;Business-focused;34461;Rubber compelling Algeria;2020-04-18T11:41:47;2020-04-18T23:00:31
6;40893;Generic;Liaison mobile impactful;43948;68352;Guadeloupe deposit;77231;payment Bedfordshire JBOD;2020-04-18T08:09:17;2020-04-18T12:10:31
7;83838;Checking Account auxiliary Awesome Granite Bacon;vertical online embrace;90491;78420;1080p;48001;Toys West Virginia interface;2020-04-18T21:18:20;2020-04-18T19:53:49
8;20069;full-range;synthesize Refined sky blue;64282;40733;bus wireless Tuna;63791;Nigeria;2020-04-18T10:15:29;2020-04-18T15:28:56
9;11901;generating holistic Colorado;utilisation Kiribati;27731;3176;Division Indian Rupee Ngultrum viral;62960;protocol Zambia;2020-04-18T00:28:01;2020-04-18T16:04:56
10;36475;approach compressing;next-generation Automotive;85919;34997;Tasty connect;59244;Ameliorated Refined Plastic Keyboard;2020-04-18T03:24:30;2020-04-18T12:45:02
