id;description_duration;minutes;hours;days;weeks;years
1;HTTP Cambridgeshire;60318;80263;19429;6286;75050
2;drive neural algorithm;98754;77145;42933;60855;69188
3;Samoa circuit client-server;66120;53298;79942;63195;25545
4;withdrawal deliver Cheese;85991;10377;35589;26150;98411
5;Turkey harness;75838;84022;37038;81655;69199
6;Personal Loan Account;49137;86404;81368;2539;75103
7;models compressing mesh;90284;2632;88839;70557;18115
8;recontextualize Identity Platinum;8220;93270;33119;81780;29467
9;Concrete Managed;73513;78775;84496;49035;30533
10;Berkshire Computer connecting;72725;13930;24721;75416;77857
