id;titulo;duracion;temporada;presupuesto;descripcion
1;Sleek Wooden Ball;21662;Savings Account transparent Incredible Plastic Tuna;69448;KeyboardXX
2;Checking Account Interactions;83659;Kenyan Shilling;80274;quantify Chief Mountains
3;Cameroon;22741;deposit;57660;deposit Nakfa Iran
4;Vermont;41208;bandwidth-monitored vertical Home;51581;repurposeX
5;Oregon teal;54531;bottom-line protocol;59898;Brook database
6;firewall;89252;Awesome;10995;Minnesota ivory Checking Account
7;Designer fuchsia;80774;architectures;91145;SmallXXXXX
8;Plastic multi-byte;95019;Legacy;13417;empowering back up Designer
9;Ball Bike firewall;43494;explicit Handmade Plastic Cheese TCP;70296;harness yellow Soap
10;British Indian Ocean Territory;70870;Facilitator Awesome;93578;Pa'anga interface seamless
