id;title_route;destination;season;budget;description_route;created_at;updated_at
1;Producer action-items Money Market Account;Triple-buffered;WINTER;62206;Granite Awesome Cotton Soap salmon;2020-04-18T22:56:35;2020-04-18T06:53:11
2;Intelligent;Ergonomic Tactics dynamic;SUMMER;90436;foreground Industrial;2020-04-18T23:24:33;2020-04-18T22:31:23
3;Savings Account Fantastic Concrete Pizza mobile;compress process improvement;AUTUMN;13014;Profit-focused Beauty copy;2020-04-18T20:59:42;2020-04-18T23:01:20
4;moderator cyan input;Generic mobile Incredible Frozen Tuna;SPRING;84688;payment;2020-04-18T10:40:33;2020-04-18T09:04:10
5;Investment Account infrastructures;Investment Account B2B;SPRING;34211;front-end Configuration alarm;2020-04-18T14:19:36;2020-04-18T12:56:32
6;Branding Refined New Mexico;streamline;WINTER;29906;open-source Iceland Krona sticky;2020-04-18T21:34:50;2020-04-18T05:37:13
7;Berkshire Solomon Islands Dollar;Buckinghamshire exploit;WINTER;88957;Intranet;2020-04-18T23:27:34;2020-04-18T06:55:01
8;Practical Metal Fish infrastructures;backing up withdrawal;WINTER;45701;Shoes invoice;2020-04-18T18:39:41;2020-04-18T15:34:34
9;Phased Cross-platform Cliffs;Bedfordshire;WINTER;21414;Checking Account Orchestrator AI;2020-04-18T06:34:00;2020-04-18T18:15:48
10;Mississippi customized;indexing empower;WINTER;37776;Borders Specialist Shoes;2020-04-18T10:18:54;2020-04-18T18:35:23
