id;name_category;cheap;luxury;lonely;friends;romantic;kids;sport;relaxation;art;food;nature;city
1;Table;false;false;true;false;true;false;true;false;true;true;false;true
2;applications Practical Rubber Chair Fresh;true;true;true;true;true;false;false;true;true;true;false;true
3;Steel fuchsia hacking;true;true;false;true;false;false;false;true;false;false;false;true
4;Washington;false;true;false;true;false;false;true;true;false;true;false;true
5;Czech Koruna;false;true;true;true;true;false;false;true;true;false;false;false
6;Savings Account compress archive;false;true;true;false;true;false;true;false;false;true;false;true
7;JSON throughput;true;true;false;true;true;true;false;true;false;false;false;true
8;Liechtenstein;false;true;true;true;true;true;true;true;false;false;true;false
9;Intelligent Central bricks-and-clicks;true;true;false;true;false;false;false;true;false;false;true;false
10;Savings Account Lithuania Chief;true;false;true;true;true;true;false;true;true;false;false;false
